,Comments,Emotion_predicted
0,you are selected corporate politicians like sujana murali mohan galla aruna jaya dev ambika krishna kesineni nani narayana maganti babu magunta srinivasu reddy ongole rayapati bolla bullu ramayya tanuku ganta srinivasu rao muttum setti srinivasu rao so many are there,Positive
1,c b naidu you are selected candidates people's leaders or a corporate politicians,Negative
2,"stop it, chandrababu",Negative
3,mine is rajahmundry i myself was in mahanadu on 27th 28th i myself heard his manifesto but poor people don't really believe.,Negative
4,bring a sheet,Negative
5,"it should be improved, it means that only the cabin should leave ravali kula ghazi and people should vote.",Positive
6,people in andhra pradesh are not so red beans to vote for you,Negative
7,chandrababu's value was lost when babu said the job he was doing,Negative
8,do you always give book k support sir have you seen ssi stha slope to you sir,Negative
9,years kotale,Negative
10,jai baba mali nu ravali,Negative
11,jai chandrababu jai tadap,Negative
12,cbn only hope for ap,Negative
13,"tomorrow, when the election comes, jagan will be with 160 mlas. go to the village and see, you will know how jagan's administration is.",Negative
14,if he pay for all these promises he has to abandon amaravati development when modi constructed 65000sqare meter parliament in 30 months for 900 crores and kcr constructed secretariat in two years for 500 crore why this hi-tech babu failed construct capital in amaravati in five years after receiving 2500 crore from central government his failure was not due to lack of his capabilities but due to lack of will on his part his partymen brain washed him to make money in the name of world class capital by selling land to corporates at 6crore per acre which was purchased by his partymen @rupees one crore per acre and gave it land pooling like this they want to make 100000 crore by selling 20000 acres land and benefit his party men @5crore per acre in 5years time he was over confident that he would be in power till 2033 his plans boomranged and jagan came to power,Negative
15,jay saban,Negative
16,did you forget how many people you have killed and come here with that face?,Negative
17,jai tdp,Negative
18,jai tdp jai tdp jai tdp jai tdp,Negative
19,"jai babu's negative comments box, what are you doing here?",Negative
20,jai telugu desam jai chandrababu naidu,Negative
21,a rusty can an old bicycle two tires have run out of air an old kulagajji a chameleon's back flooding a sock the fox needs to go tdp needs to get better,Negative
22,jay saban,Negative
23,jaganna's fans are the people who bring canned food and don't pay for it,Negative
24,how many meetings you have made is our world,Negative
25,boy boy babu,Negative
26,who is maddakaku?,Negative
27,neck,Negative
28,this is not a great day but a great backlash,Negative
29,"veerasimhareddy has been watching balakrishna movies since 2 & 3 years now. he shouts loudly in that movie. if he hits without clothes, 10 people's heads will stand up. seeing that, balakrishna is shocked.",Negative
30,bai bai jagan we want babu back tdp 2024,Negative
31,jai jeee telugudesammmm kate kale dak tadap niye,Positive
32,when jagan anna,Negative
33,neku breaking point ysr,Negative
34,"in the reign of 5 25, it was done",Negative
35,2 rs per kilo of rice when there was vissar,Negative
36,the viceroy hotel project is a backstabbing project,Negative
37,and you did the vennupotu project,Negative
38,"let's save heritage, let's save singapore hotel, let's save ramoji",Negative
39,brother zindabad,Negative
40,vannupotu,Negative
41,pora bolli,Negative
42,moon for amaravati lands,Negative
43,jai telugudesammmmmmmmmnnnn,Negative
44,"hey, let this my world shine on your forehead",Negative
45,badgaon mantra name can just be new loafer lanjkoda new yamaha,Negative
46,before chakra niam mogudu na ka chakra nibhaya madhuravada,Negative
