,Comments,Emotion
0,oh god now he beg for bjp or,Positive
1,piikinaru now andhraloli eddie sheep,Negative
2,bye bye babu,Negative
3,"if i vote for you, all your leaders are frauds, my sons will not be there, they will call us sisters in the villages.",Negative
4,smile,Positive
5,"we made a mistake, sorry sir, you are the cm in 2024",Negative
6,wongo wongo your life is over yet,Neutral
7,ap need naidu vision and government,Positive
8,who is watching in 2021,Neutral
9,appudu bye bye babu annaru ippudu andaru lanja kodukulu chastunaru ap sarva nasanam avvindi ycp lanja kodukulu vaala okka industry ledhu capital ledhu polavaram pointi special status pointi sand pointi liquor bebacham law and order pointi roads levvu appu chesi government properties ammi pappu schemes istunadu tugluk gadu,Negative
10,ap prajalu garjinchaali eppatikaina melkovaali ap nu abhivruddhi tho parugulu pettinche naayakunni ennukovaali amaravati ni kaapaadukovaali ap nu kaapaadukovaali,Neutral
11,cunning and idiot politician,Negative
12,cha po why are all the old donkeys?,Negative
13,fuck off back,Negative
14,poo bey deggei,Neutral
15,"what kind of video did you make, babu garu?",Neutral
16,we miss you sir ap is in a confusion state now,Negative
17,,Neutral
18,nee kallu pattukunna okka raithu ni kapadava entha mandi polalu lakkunnav nuvvu goppodivi aythe united ap kavalani nirahara deeksha chesi sachipo then we will believe nee asthi motham daanam chey then andaru believe chestharu stage meeda yoga cheyadam kadu,Positive
19,the naidu of dramas is equivalent to a fox,Neutral
20,am nowing him day by day about him self really am feeling proud sir luv uh sir now a days am crying while knowing about uh this idiotic ppl don39t know who r uh wt r uh ani valaki oka roju budhi vasthundhi your abdul kalam of ap best leader,Positive
21,now he will touch the feet of voters after elections he will cut the throat of voters don39t believe this cunning fox,Negative
22,what i39m trying to say is bye bye,Negative
23,cm,Positive
24,jay saban,Positive
25,chandrababu malli newvasim malli rawlibabu,Positive
26,you have not heard of telugu nation's famous dovleoped leader people who don't know your value say a lot but you are hero that39s it sir jai cb na,Positive
27,bye bye babu,Negative
28,we are always with you sir jai cbn,Positive
29,thokkale ra babu,Negative
30,this country has nothing to comfort anyone,Negative
31,wish you all the best for 2024 elections,Positive
