,Comments,Emotion_predicted
0,jai chandrababu jai jai chandrababu,Positive
1,5000 constable 25000 should be replaced in vacant group 2 after tdp,Positive
2,and what is the condition of construction workers?,Positive
3,jai tdp,Positive
4,"what is it that in your manifesto there is no scheme for ap, ap is in debt and please remodel the manifesto.",Positive
5,"if there are ten people, i will give it to ten people, but i will not do it, that is what chandra babu means",Positive
6,babu garu is doing well,Positive
7,"so far jagan has done freebs and distributed money like this, and they are looking at him to add insult to injury.",Positive
8,all of you are self-sufficient,Positive
9,wanting a position is a sin,Positive
10,"from <a href=""https://www youtube com/watch?v=kslp1lpuduq&t=7m13s"">7:13</a>",Positive
11,"tdp too don't trouble the people by putting schemes, we think it will be good if the cabin comes jai tdp",Positive
12,tdp,Positive
13,add valmiki lust to sir chalu bc,Positive
14,supper cbn,Positive
15,finally copy the logo too,Positive
16,they did not say what they would do to the volunteers if they joined the party,Positive
17,neke chandranna's vote,Positive
18,2 kids wala paying taxes and 12 kids wala enjoy benefits,Positive
19,to give your mother mogudu somna,Positive
20,i pray to that god that cbn ki is not wrong to give such a word and give many such impossible promises to live for another hundred years.,Positive
21,earlier up had divided telangana,Positive
22,sir tell me how much rate will be increased on which item,Positive
23,viper babu,Positive
24,cabin you are your bed,Positive
25,cabin you are sri lankan avvadhura,Positive
26,after cabin gadu won the election i didn't say what is manifesto says fraud gadu cabin gadu,Positive
27,totally fake matalu,Positive
28,"hey babu, why don't you come with the schemes of delhi states, make our state debt free too, babu",Positive
29,shame on you for criticizing govt for so many days and giving freebs again,Positive
30,"i believe you, babu",Positive
31,your manifesto is very good but how will you give all this to a state which is already heavily in debt sir will you take it out of your heritage profits or will you make andhra pradesh another sri lanka,Negative
32,"no matter how many things you say, they will believe the one promise you made in your life and show it. i believe you and i won't get votes from many people. pony jagan is fulfilling all the promises he made, but the atrocities have increased. no one is less, no one is more.",Positive
33,"mom should vote for jagan for the money we got, better luck next time sir",Positive
34,"if our chambad is given, ap is not sri lanka, if you want it, ask for the scabies of our caste.",Positive
35,jabukavalantay baburavali said bongu kuda evvaleadu,Positive
36,don't believe bogus babu matalu,Positive
37,not to mention seeps sir,Positive
38,4 fulls per month are free for those above 21 years,Positive
39,take rest annayya! you are tired of being in politics for a long time your time is over boss,Positive
40,ooh now because of these andhra will become sri lanka?,Positive
41,"because of the schemes given by jagan, the state became sri lanka and now because of the schemes you are saying, the state will become another america",Positive
42,when and where do you get it from?,Positive
43,"if you give early 15000 to a child at home, the state will be in debt, you are saying that all the children like it.",Positive
44,free gas cylinders will be delivered through varahi: chandrababu,Positive
45,sri lanka will be next and andhra pradesh will provide the schemes,Positive
46,comedy,Positive
47,don't want babu's beds rashtam govinda already needs to clear the debts and develop,Positive
48,he told us that he copied and pasted the karnataka manifesto,Positive
49,a p ne mayam chesi rythu nu ninda munchau,Positive
50,420 jagan destroyed the state,Positive
51,jai tdp jai cbn,Positive
52,jai cbn next c m,Positive
53,"sir, if the assurances you gave for 14 years are fulfilled, the state will go somewhere",Positive
54,graphics babu pappu babu,Positive
55,it is true that the lights went off in nandamuri's house,Positive
56,who are you to change the constitution?,Positive
57,babu you have gone mental bye bye babu,Positive
58,"if jagan mohan reddy gives free schemes, the state will become sri lanka. if chandrababu gives free schemes, the state will become america, brothers, believe it, babu.",Positive
59,bye bye babu,Positive
60,telugudesam party 2024 schemes all kinds of schemes no schemes compared to ysr this government your party has no medals if you want to come back to power babu you have to fix them alone 2023 ysr jagan's party that party's schemes are implemented for poor people babu babu babu you don't want anymore,Positive
61,telugudesam manifesto is not good auto drivers for old people in telugudesam manifesto there is no preference for auto drivers for old women.,Positive
62,40 years of industry not knowing that gas price and petrol prices are decided by central government is nothing but cheating people.,Positive
63,we are the loose end,Positive
64,what is the situation of all the ladies and men?,Positive
65,2019 ysrcp manifesto and 2023 karnataka manifesto copy idhi,Positive
66,"i believe you, babu",Positive
67,cheap fellows ki nidhra pattadhu we nris will support the manifesto and help the visionary thoughts to build ‘the sun rise’ state annapurna andhra pradesh,Negative
68,"some questions directly to cbn (how to believe you too babu) 1) 2014 manifesto lo unemployment allowance rs 2000/- did you give it? 2) in the 2014 manifesto, did you say loan waiver for farmers? 3) do you give house to house job? 4) if jagan completes 90% of the manifesto given in 2019, sri lanka will give you more than what jagan is giving. will sri lanka become another pakistan?",Positive
69,"given nilu, who was the youngest of jagan's age, was not regular",Positive
70,mundu lokesh ni kanamanu 4 ni,Positive
71,when will the state become sri lanka or afghanistan?,Positive
72,"oh, if you come, the peasants will be swept away",Positive
73,ninnu namam babu,Positive
74,bye bye babu,Positive
75,ninnu namam babu,Positive
76,when sri lanka is our state,Positive
77,what is the meaning of the party survey that they will not come into power,Positive
78,all free babu has arrived,Positive
79,"jagan has been giving everything that jagan has said since the last four years, you are giving for the last 2 months and that's it, i don't believe you babu",Positive
80,tdp will not come,Positive
81,"i believe you, babu",Positive
82,important election promises made by chandrababu from 1995 to 2014 are 2 rupees per kg of rice lifted ban on moderate consumption of 50 rupees removed horse power for 50 rupees if a girl child is born 5 thousand will be given to bonkesa without giving all the debt waivers no dwakra loan waivers no cancellation of belt shops no food per household no unemployment benefits of 2 rupees k 20 liters of potable water is not given 30 thousand mahalakshmi scheme for girl child is not available 10 thousand for poor pregnant women child scheme is not started cycle is not given to girls studying high school inter now again he is out to deceive people by giving some fake promises,Positive
83,"i believe you, babu",Positive
84,next cm jagan inka bye bye babu,Positive
85,double the income with this manifesto,Positive
86,jai tdp,Positive
87,"since jagan has not completed sri lankan ap yet, you will come in 2024 and do ap as ""sri lanka andhra pradesh"".",Positive
88,"ori, if you forget the names of the schemes, people will think you are sheep, and you will become the st state of sri lanka.",Positive
89,you are hyd lo,Positive
90,fake fake fake cbn,Positive
91,ammavadi presents a budget of 6000crores to 1 child,Positive
92,"after winning these votes, bongu will not even do it",Positive
93,"if you do all this, now sri lanka, you or that jagan, what will you give?",Positive
94,"nammam babu nammam makes a lot of mistakes, no graphic magic, we learned that bulls give milk",Positive
95,fake cbn,Positive
96,let's change the books to ok,Positive
97,abadapuuu cm,Positive
98,don't talk as much as you want to win,Positive
99,ed is manifesto's brother ed,Positive
100,sri lanka????,Positive
101,your manifesto name alone will not be implemented,Positive
102,singapore with these schemes?? i speak all the words that i understand,Positive
103,hi venupottuni learn,Positive
104,there is no one who is so selfish that he will stoop to any extent for power,Positive
105,don't over-confidence sir,Positive
106,"sir, it is not a plan to be implemented",Positive
107,jai chandrababu jai jai chandrababu,Positive
108,5000 constable 25000 should be replaced in vacant group 2 after tdp,Positive
109,and what is the condition of construction workers?,Positive
110,jai tdp,Positive
111,"what is it that in your manifesto there is no scheme for ap, ap is in debt and please remodel the manifesto.",Positive
112,"if there are ten people, i will give it to ten people, but i will not do it, that is what chandra babu means",Positive
113,babu garu is doing well,Positive
114,"so far jagan has done freebs and distributed money like this, and they are looking at him to add insult to injury.",Positive
115,all of you are self-sufficient,Positive
116,wanting a position is a sin,Positive
117,"from <a href=""https://www youtube com/watch?v=kslp1lpuduq&t=7m13s"">7:13</a>",Positive
118,"tdp too don't trouble the people by putting schemes, we think it will be good if the cabin comes jai tdp",Positive
119,tdp,Positive
120,add valmiki lust to sir chalu bc,Positive
121,supper cbn,Positive
122,finally copy the logo too,Positive
123,they did not say what they would do to the volunteers if they joined the party,Positive
124,neke chandranna's vote,Positive
125,2 kids wala paying taxes and 12 kids wala enjoy benefits,Positive
126,to give your mother mogudu somna,Positive
127,i pray to that god that cbn ki is not wrong to give such a word and give many such impossible promises to live for another hundred years.,Positive
128,earlier up had divided telangana,Positive
129,sir tell me how much rate will be increased on which item,Positive
130,viper babu,Positive
131,cabin you are your bed,Positive
132,cabin you are sri lankan avvadhura,Positive
133,after cabin gadu won the election i didn't say what is manifesto says fraud gadu cabin gadu,Positive
134,totally fake matalu,Positive
135,"hey babu, why don't you come with the schemes of delhi states, make our state debt free too, babu",Positive
136,shame on you for criticizing govt for so many days and giving freebs again,Positive
137,"i believe you, babu",Positive
138,your manifesto is very good but how will you give all this to a state which is already heavily in debt sir will you take it out of your heritage profits or will you make andhra pradesh another sri lanka,Negative
139,"no matter how many things you say, they will believe the one promise you made in your life and show it. i believe in you and i won't get votes from many people. pony jagan is fulfilling all the promises he made, but the atrocities have increased. no one is less, no one is more.",Positive
140,"mom should vote for jagan for the money we got, better luck next time sir",Positive
141,"if our chambad is given, ap is not sri lanka, if you want it, ask for the scabies of our caste.",Positive
142,jabukavalantay baburavali said bongu kuda evvaleadu,Positive
143,don't believe bogus babu matalu,Positive
144,not to mention seeps sir,Positive
145,4 fulls per month are free for those above 21 years,Positive
146,take rest annayya! you are tired of being in politics for a long time your time is over boss,Positive
147,ooh now because of these andhra will become sri lanka?,Positive
148,"because of the schemes given by jagan, the state became sri lanka and now because of the schemes you are saying, the state will become another america",Positive
149,when and where do you get it from?,Positive
150,"if you give early 15000 to a child at home, the state will be in debt, you are saying that all the children like it.",Positive
151,free gas cylinders will be delivered through varahi: chandrababu,Positive
152,sri lanka will be next and andhra pradesh will provide the schemes,Positive
153,comedy,Positive
154,don't want babu's beds rashtam govinda already needs to clear the debts and develop,Positive
155,he told us that he copied and pasted the karnataka manifesto,Positive
156,a p ne mayam chesi rythu nu ninda munchau,Positive
157,420 jagan destroyed the state,Positive
158,jai tdp jai cbn,Positive
159,jai cbn next c m,Positive
160,"sir, if the assurances you gave for 14 years are fulfilled, the state will go somewhere",Positive
161,graphics babu pappu babu,Positive
162,it is true that the lights went off in nandamuri's house,Positive
163,who are you to change the constitution?,Positive
164,babu you have gone mental bye bye babu,Positive
165,"if jagan mohan reddy gives free schemes, the state will become sri lanka. if chandrababu gives free schemes, the state will become america, brothers, believe it, babu.",Positive
166,bye bye babu,Positive
167,telugudesam party 2024 schemes all kinds of schemes no schemes compared to ysr government your party has no medals if you want to come back to power babu you have to fix it 2023 ysr jagan party that party schemes every scheme of jaganna will be implemented for the poor babu babu babu don't want you anymore,Negative
168,telugudesam manifesto is not good auto drivers for old people in telugudesam manifesto there is no preference for auto drivers for old women.,Positive
169,40 years of industry not knowing that gas price and petrol prices are decided by central government is nothing but cheating people.,Positive
170,we are the loose end,Positive
171,what is the situation of all the ladies and men?,Positive
172,2019 ysrcp manifesto and 2023 karnataka manifesto copy idhi,Positive
173,"i believe you, babu",Positive
174,cheap fellows ki nidhra pattadhu we nris will support the manifesto and help the visionary thoughts to build ‘the sun rise’ state annapurna andhra pradesh,Negative
175,"some questions directly to cbn (how to believe you too babu) 1) 2014 manifesto lo unemployment allowance rs 2000/- did you give it? 2) in the 2014 manifesto, did you say loan waiver for farmers? 3) do you give house to house job? 4) if jagan completes 90% of the manifesto given in 2019, sri lanka will give you more than what jagan is giving. will sri lanka become another pakistan?",Positive
176,"given nilu, who was the youngest of jagan's age, was not regular",Positive
177,mundu lokesh ni kanamanu 4 ni,Positive
178,when will the state become sri lanka or afghanistan?,Positive
179,"oh, if you come, the peasants will be swept away",Positive
180,ninnu namam babu,Positive
181,bye bye babu,Positive
182,ninnu namam babu,Positive
183,when sri lanka is our state,Positive
184,what is the meaning of the party survey that they will not come into power,Positive
185,all free babu has arrived,Positive
186,"jagan has been giving everything that jagan has said since the last four years, you are giving for the last 2 months and that's it, i don't believe you babu",Positive
187,tdp will not come,Positive
188,"i believe you, babu",Positive
189,important election promises made by chandrababu from 1995 to 2014 are 2 rupees per kg of rice lifted ban on moderate consumption of 50 rupees removed horse power for 50 rupees if a girl child is born 5 thousand will be given to bonkesa without giving all the debt waivers no dwakra loan waivers no cancellation of belt shops no food per household no unemployment benefits of 2 rupees k 20 liters of potable water is not given 30 thousand mahalakshmi scheme for girl child is not available 10 thousand for poor pregnant women child scheme is not started cycle is not given to girls studying high school inter now again he is out to deceive people by giving some fake promises,Positive
190,"i believe you, babu",Positive
191,next cm jagan inka bye bye babu,Positive
192,double the income with this manifesto,Positive
193,jai tdp,Positive
194,"since jagan has not yet completed sri lanka ap, you will come in 2024 and do ap as ""sri lanka andhra pradesh"".",Positive
195,"ori, if you forget the names of the schemes, people will think you are sheep, and you will become the st state of sri lanka.",Positive
196,you are hyd lo,Positive
197,fake fake fake cbn,Positive
198,ammavadi presents a budget of 6000crores to 1 child,Positive
199,"after winning these votes, bongu will not even do it",Positive
200,"if you do all this, now sri lanka, you or that jagan, what will you give?",Positive
201,"nammam babu nammam makes a lot of mistakes, no graphic magic, we learned that bulls give milk",Positive
202,fake cbn,Positive
203,let's change the books to ok,Positive
204,abadapuuu cm,Positive
205,don't talk as much as you want to win,Positive
206,ed is manifesto's brother ed,Positive
207,sri lanka????,Positive
208,your manifesto name alone will not be implemented,Positive
209,singapore with these schemes?? i speak all the words that i understand,Positive
210,hi venupottuni learn,Positive
211,there is no one who is so selfish that he will stoop to any extent for power,Positive
212,don't over-confidence sir,Positive
213,"sir, it is not a plan to be implemented",Positive
