,Comments,Emotion
0,yes brother in our village landless persons also got scheme amount,Negative
1,sir me nanna perumeeda vunna polamki vesuntaru ante intlo evari account lo ayina padochu annaru sir naku polam vundi anni apply chesa ayina naku money padaledu sie,Negative
2,"bro("""""" vote for note"""""" )new scheme",Positive
3,pls complaint to ec and take this matter very serious really hurting this stupid activities from tdp,Negative
4,well said bro people who believes that cbn is a great leader to them your speech will realise the facts in my perspective he is not a leader he is no 1 politician to misuse the power for their own benefit not for the welfare of the society,Negative
5,good person u,Positive
6,helping deserving lyhnya is cheating for ela isthy votala already babu anaduga tammulu nenu meku ichy dabbu legal but this is illegal,Negative
7,supper anna,Positive
8,anna happy ga money theesko ycp ki vote vesey anthe vadiki manam money theesukuni vennupotu poduddam simple vadu okkadena vennupotu podavagaladu manaki time vachindi podicheddam potu theesukundam notu guddeddam ycp ki vote,Negative
9,super bro complain against him,Positive
10,please complain to e c it’s good that you are making a video kindly let the local police also know national green tribunal has fined ap govt with 100 crores,Negative
11,hi bro me family lo e account aina aadhar link aithe a account ki money padutundi u told ur father have land that's why ur account credited instead of ur father koncham telusukoni video cheyandi,Negative
12,biscuit sale gadu babu bye bye babu,Positive
13,not only you but many people have come brother please save ap,Negative
14,i have 3 across but i didn't get any amount what should i do,Neutral
15,good complaint to election commission immediately filthiest cb naidu dog pest to the core,Negative
16,just watched in fb complain to ec,Neutral
17,"the drama was well done, ycp said only one word in your a/c",Positive
18,vote wey gave all dabu,Negative
19,yesss idi nijam maaa frndsss kuda ilane paddayy asaluuu praja dhanam enthaaa gaaa kevalam votes kosam eee last minutes lo eee scheme lo vesthunnarooo ardham chesukondiii idi 2014 nundii pakka gaa amalu chesiii unteee raithu laku nijamaina vaaallaki laabham chekurediii buttt ippudu wasteee idiii naaa daggara proofs unnay kudaa land leni vaallaki padday unna vaalla accounts lo double amounts kudaa padday,Negative
20,pls save ap,Positive
21,superb said,Positive
22,complaint to ec,Neutral
23,bro 3000 i bought which cabin plane plus compliant with ac,Positive
24,"this isn't annadata sukhibhava <a href=""http://scheme vote/"">schemes vote</a> for note!!",Negative
25,it's ridiculous that money can buy a cabin debacle,Negative
26,definitely it'll be shown effect its a huge amount to some people who are getting 10000 or less as monthly income,Positive
27,hats off to u bro i have agri land below 5 acres still i have not recd single penny god bless you bro,Negative
28,he is giving a small amount of our hard earned tax money before the elections. people please be aware and avoid these cheap and cheap temptations.,Neutral
29,donga babu,Positive
30,you are a story on this bro,Positive
31,please vote for jagan anna who took cash,Negative
32,brahmo people are very intelligent to think that if they give money they will get votes,Neutral
33,please brother complaint ec save ap,Negative
34,"people, think whether you want 3000 for vote or 5 years for good governance",Negative
35,he is doing very worst,Negative
36,jai jagan said that correctly,Positive
37,irukanga vote kuntunnaru public gay you are honest person bro,Negative
38,super video anna vote for fan,Positive
39,we have seen many movies le roja,Positive
40,"when there was a talk about ayesha's case, you said tell me who did it, and m paycup, let's not talk about it.",Negative
41,ma'am you are very good orator cbn is very crooked n cunning he is capable of detrack issues n play cunning tricks actually u or all leaders should know onion issue is not jagan mistake in many indian states onions are being sold more than a p prices our cm is great n dynamic,Positive
42,"the dynamic leader roja should be aware of those who troll, he did not show respect when he was in the party, now he is successful, waste fellows say adc",Positive
43,should it be changed to aandangi pradesh?,Positive
44,"we do not agree to change the name to ""mahilandra pradesh"" we demand with open arms that the name should be changed to ""purushandra pradesh"".",Negative
45,irish leg,Positive
46,are you talking too?,Negative
47,telangana lo jarigindi sare ap lo jarigina vatikemi samadhanam cheptaru? industrial development gurinchi alaanti measures tisu untunnaru? mikichina post full form spelling aina telusa?,Negative
48,movie dialogues before you waste sister where the talent,Negative
49,no one can control roja in ambothini assembly on the road,Negative
50,"oh, andhra pradesh should be changed into a women's state and men in it? do you think this is golimar's movie, mother roja?",Negative
51,these are all words of encouragement,Positive
52,talk about what happened to sister rojakka preeti sugali,Positive
53,talk abs tirupati rape case madham,Negative
54,super (m) up man's need flowers/boat in navrathan,Positive
55,tue a speek osm i have,Negative
56,roja sugali heal preeti,Positive
57,ha ha ha ha,Negative
58,"you keep saying jagan, but you can't say jagan, even your boyfriend",Positive
59,"any day you want to turn andhra pradesh into sex pradesh, let's not let it happen",Negative
60,"when your sons understand why you are in the city, then everyone will know that you are an evm candidate.",Positive
61,it is madam kadra donkey dog,Positive
62,big pathirha speaks,Positive
63,andhra pradesh ananda pradesh ga marali ante oppukunta aadalla pradesh meeru jabardast pai sraddha thagginchi mimmalni mla chesina prajala gurinchi alochana cheyandi bavishyamlo inka manchi perostundi,Negative
64,osei nut and men should go to madhe pradesh,Positive
65,a fight broke out when jagga was shameless and asked what happened yesterday.,Neutral
66,pandy is no different,Neutral
67,should we all go to madhya pradesh?,Negative
68,should all the men go to madhya pradesh?,Negative
69,no response to what happened in ongolu yesterday,Negative
70,"sister did not talk about what happened in tirupati mullapudi, what a joke you are talking about now",Negative
71,rojandhra pradesh avvali appudu kani state motham ?????????,Negative
72,cabin k raps the assembly,Positive
