,Comments,Emotion
0,vidyadeevana pada is a moga padai keech,Negative
1,yet the vasathi deevena amount not released but vidhya bill is approved,Positive
2,thanks for vidya deewana,Positive
3,it is a waste of time and pressure on students if it is done beforehand,Negative
4,think ones,Positive
5,"there are many, it will be three months after raising grivmc, are you worried?",Neutral
6,,Neutral
7,kadara mundamopi removed withanthup inchans,Negative
8,ysr bima amount release date chepandi sir,Positive
10,the book,Positive
11,i was not given a house,Negative
12,babu,Positive
14,"after all, you are also doing the same thing",Positive
15,medals are given and then they are taken away after showing some reason.,Neutral
16,mother's lap did not come,Negative
18,third counselling pattade please please,Positive
20,not coming for us either,Negative
21,farmer bhorosa has not come yet,Negative
22,amount not credited,Negative
23,pm's first ry tube opening,Positive
24,rythu bharosa did not sing to us,Negative
25,best cm jagan anna,Positive
26,still not received,Negative
27,pm kisan pma istuntei jagan's name i am coming he says ntavah full support jagan,Negative
28,that skin is missing,Negative
29,pm kisan is not coming,Negative
30,nowhere about input subsidy,Negative
31,we don't have farmer insurance,Negative
33,ntavah ycp has become the sponsor,Positive
34,7500 amma dabba beat well,Positive
35,jai jagan sir please give me dsc,Positive
36,420 edava,Positive
37,for the sake of jagan,Positive
38,you are the king of deceit,Positive
39,420,Positive
40,sir what u did pls tell iam from bangalore i respect my friends in andhra,Positive
41,"during the cycle period, our house was a section, when you came, it was stolen.",Neutral
42,quit jagan mohan reddy save andhra pradesh,Negative
43,chatha paripalna naku marriage i e 4 6 month years inde ris card ladu ame chipalle naaku 2 childr en's badu ku 3 years baby 1 ears e sodhe everki chappu tharu edhe rowdy rajam dhenke support theka prajalu apudu marutharu naa name munna nadhe anantapur jilla peddavadugur mandalm venkatampalli my village problem clear chiasthbaa jagan anna,Negative
44,why what dramas,Positive
45,chudandi in badvel *there is one cp leader named pandi sriramulu.,Negative
46,supersir,Positive
47,it is clear from your two manifestos that people have become mustals,Negative
48,"we didn't know that if pora pooka asked one chance, one chance, one chance would be enough.",Neutral
49,"during the reign of chief minister vice jaganmohan reddy, i was allotted a house in nana palli mandal of kadapa district for 15 nara cents jai jagan jai vicesar cp jai vaisar",Positive
50,hey jagan seebum i can trust you but i can't trust you,Positive
51,the growth rate of debt is lower than before,Neutral
52,super anna,Positive
54,who went to jail and did chandrababu eat 18 water after robbing him?,Negative
55,tdp built the house but you didn't give it and still you cheated by not giving it,Neutral
56,increase 6000 for the disabled,Positive
57,jai jagan 2024 kam 175/175,Negative
58,east godavari dict low illapattu chikhar meru,Neutral
59,have you come to the village and checked?,Negative
60,did you give the house schemes? my brother died and it has been 3 years and the beam did not come,Negative
61,rip ycp,Negative
